,name,price,vendor_code,text,abbreviation,category
0,Влажный корм AWARD для щенков от 1 месяца паштет из телятины с овощами 400г,340.0,2540355,"Паштет из телятины с кусочками овощей для взрослых собак - это сбалансированное питание для любимого питомца, изготовленое из одного вида мясного белка без содержания зерна и глютена, с добавлением овощей и фруктов богатых витаминами и минералами. Состав Состав: телятина 66%, тыква 4%, стручковая фасоль 4%, яйца кур 6%, свекловичная клетчатка, витамины и минералы, льняное масло 0,5%, кальций, инулин. белки 12%, жиры 7%, зола 2%, клетчатка 0,9%, кальций 0,8%, фосфор 0,5%, влага 75%. Телятина 66%, тыква 4%, стручковая фасоль 4%, яйца кур 6%, свекловичная клетчатка, витамины и минералы, льняное масло 0,5%, кальций, инулин.",влажный корм для щенков от 1 месяца паштет из телятины с овощами 400г,влажный корм для щенков
1,Влажный корм AWARD Healthy growth для котят от 1 месяца кусочки в соусе с индейкой 85г,75.0,7176809,"AWARD Полнорационный консервированный корм «Healthy growth» для котят от 1 месяца, кусочки в соусе с индейкой 85 г. Корм изготовлен из 100% натуральных ингредиентов по инновационной формуле — это обеспечивает комплексную нутрицевтическую поддержку организма питомца. Мясо и мясные субпродукты 43% (индейка не менее 12%), яйцо куриное 6%, рис не более 3,7%, подсолнечное масло, витамины и минералы, экстракт эхинацеи, таурин.",влажный корм для котят от 1 месяца кусочки в соусе с индейкой 85г,влажный корм для котят
2,"Влажный корм Мнямс Паштет из индейки для котят до 4 месяцев ""Суфле по-английски"" 200 г",191.0,176618,"Полнорационный суперпремиальный паштет ""Суфле по-английски"" с высоким содержанием мяса, созданный по мотивам культовых рецептов разных стран, адаптированных под потребности домашних питомцев. Подходит для котят всех пород с момента прикорма и до 4 месяцев, беременных и кормящих кошек; Содержит большое количество животного белка: индейка и субпродукты не менее 63%; Содержит молоко и комплекс необходимых витаминов и минеральных веществ; Обладает нежной текстурой и безупречным вкусом; Без ГМО, сои, искусственных добавок и красителей. Состав Влажность - 78%, Белок - 11%, Жир - 6%, Зола - 2%, Кальций - 0,43%, Фосфор - 0,29% индейка и субпродукты не менее 63%, молоко 4%, витамины и минеральные вещества, яичный порошок, рыбий жир, таурин.","влажный корм паштет из индейки для котят до 4 месяцев ""суфле по-английски"" 200 г",влажный корм для котят
3,"Сухой корм AWARD Sterilized для взрослых стерилизованных кошек с индейкой и курицей с добавлением клюквы и цикория 1,5кг",1053.0,7173587,"Сухой корм AWARD Sterilized для взрослых стерилизованных кошек с индейкой и курицей с добавлением клюквы и цикория 1,5 кг. Корм изготовлен из 100% натуральных ингредиентов по инновационной формуле — это обеспечивает комплексную нутрицевтическую поддержку организма питомца. Обогащен полиненасыщенными жирными кислотами, которые повышают качество шерсти и укрепляют иммунитет. Дегидрированное мясо курицы 18%, дегидрированное мясо индейки 15%, рис, ячмень, жир животный (куриный), чечевица зеленая, кукурузный белок, гидролизованные мясные белки, витаминно-минеральный комплекс (витамины А, D, E, К3, B1, B2, B4, B6, B12, ниацин, пантотеновая кислота, биотин, фолиевая кислота), сухие пивные дрожжи, семена льна, рыбий жир (лососевый), юкка Шидигера, DL-метионин, шиповник, клюква, розмарин, корень цикория, пробиотики (Bacillus subtilis, Bacillus licheniformis).","сухой корм для взрослых стерилизованных кошек с индейкой и курицей с добавлением клюквы и цикория 1,5кг",сухой корм для стерилизованных кошек
4,"Сухой корм AWARD HYPO для взрослых собак всех пород с белой рыбой с добавлением брокколи, сельдерея и семян льна 2кг",1633.0,7173488,"Сухой корм AWARD HYPO для взрослых собак всех пород с белой рыбой с добавлением брокколи, сельдерея и семян льна 2 кг. Корм изготовлен из 100% натуральных ингредиентов по инновационной формуле — это обеспечивает комплексную нутрицевтическую поддержку организма питомца. Подойдет для для собак всех пород с повышенной чувствительностью к компонентам корма. Источник белка — белая рыба, источник углеводов — рис. Рис, дегидрированная белая рыба 22%, овес, жир животный, ячмень, чечевица зеленая, гидролизованные мясные белки, рисовый белок, сушеная мякоть свеклы, витаминно-минеральный комплекс (A, D, E, C, B1, B2, B4, B6, B12, ниацин, пантотеновая кислота, биотин, фолиевая кислота), семена льна, рыбий жир (лососевый), брокколи, юкка Шидигера, сельдерей, розмарин, пробиотики (Bacillus subtilis, Bacillus licheniformis).","сухой корм для взрослых собак всех пород с белой рыбой с добавлением брокколи, сельдерея и семян льна 2кг",корм для рыб
5,"Сухой корм AWARD для щенков от 1 месяца, беременных и кормящих сук всех пород с ягненком и индейкой с добавлением яблока и черники 2кг",1397.0,7173372,"Сухой корм AWARD для щенков от 1 месяца, беременных и кормящих сук всех пород с ягненком и индейкой с добавлением яблока и черники 2 кг. Корм изготовлен из 100% натуральных ингредиентов по инновационной формуле — это обеспечивает комплексную нутрицевтическую поддержку организма питомца. Дегидрированное мясо индейки 25%, дегидрированное мясо курицы 10%, рис, жир животный (свиной, куриный), овес, чечевица зеленая, гидролизованное мясо ягненка 4%, гидролизованные мясные белки, витаминно-минеральный комплекс (A, D, E, C, B1, B2, B4, B6, B12, ниацин, пантотеновая кислота, биотин, фолиевая кислота), сухие пивные дрожжи, яблоко, рыбий жир (лососевый), юкка Шидигера, цикорий, черника, розмарин, пробиотики (Bacillus subtilis, Bacillus licheniformis).","сухой корм для щенков от 1 месяца, беременных и кормящих сук всех пород с ягненком и индейкой с добавлением яблока и черники 2кг",сухой корм для кошек
6,Влажный корм Мнямс Кусочки в соусе с ягненком для собак всех пород «КРАСИВАЯ ШЕРСТЬ» 400 г,191.0,704994,"Собаки, живущие в большом городе, также, как и люди, подвержены неблагоприятному воздействию окружающей среды, поэтому так важно поддерживать оптимальное состояние кожи и шерсти. Кусочки в соусе с ягненком не только очень сытные и вкусные, но и содержат масло лосося, биотин и витамины, которые заботятся о здоровье кожи и шерсти. Заботьтесь о своей собаке правильно вместе с «Мнямс». Приготовлено на пару Без искусственных красителей и ароматизаторов Без сои и гмо Состав: мясо и мясные субпродукты 45% (ягнёнок не менее 5% ), злаки, масло лосося, витамины и минералы, биотин.",влажный корм кусочки в соусе с ягненком для собак всех пород «красивая шерсть» 400 г,влажный корм для собак
7,Сухой корм AWARD для взрослых собак мелких и миниатюрных пород с ягненком и индейкой с добавлением брокколи и брусники 10кг,5412.0,7173419,"Сухой корм AWARD для взрослых собак мелких и миниатюрных пород с ягненком и индейкой с добавлением брокколи и брусники 10 кг Корм изготовлен из 100% натуральных ингредиентов по инновационной формуле — это обеспечивает комплексную нутрицевтическую поддержку организма питомца. При изготовлении корма использовалась технология 3NRGY — сочетание полезных углеводов, дающее длительный запас энергии и чувство сытости. Корм обогащен полиненасыщенными жирными кислотами, которые повышают качество шерсти и укрепляют иммунитет. Пробиотики и пребиотики помогают сохранять естественный баланс кишечной микрофлоры и способствуют оптимальному усвоению питательных веществ. В состав добавлена брокколи — отличный источник клетчатки, улучшающий работу ЖКТ. Без красителей и консервантов. Состав Состав: дегидрированное мясо индейки 18%, дегидрированное мясо курицы 10%, рис, овес, жир животный (свиной, куриный), чечевица зеленая, гидролизованное мясо ягненка 4%, гидролизованные мясные белки, сушеная мякоть свеклы, сухие пивные дрожжи, витаминно-минеральный комплекс (A, D, E, C, B1, B2, B4, B6, B12, ниацин, пантотеновая кислота, биотин, фолиевая кислота), брокколи, рыбий жир (лососевый), юкка Шидигера, брусника, цикорий, розмарин, пробиотики (Bacillus subtilis, Bacillus licheniformis). Дегидрированное мясо индейки 18%, дегидрированное мясо курицы 10%, рис, овес, жир животный (свиной, куриный), чечевица зеленая, гидролизованное мясо ягненка 4%, гидролизованные мясные белки, сушеная мякоть свеклы, сухие пивные дрожжи, витаминно-минеральный комплекс (A, D, E, C, B1, B2, B4, B6, B12, ниацин, пантотеновая кислота, биотин, фолиевая кислота), брокколи, рыбий жир (лососевый), юкка Шидигера, брусника, цикорий, розмарин, пробиотики (Bacillus subtilis, Bacillus licheniformis).",сухой корм для взрослых собак мелких и миниатюрных пород с ягненком и индейкой с добавлением брокколи и брусники 10кг,сухой корм для взрослых собак мелких и миниатюрных пород
8,Сухой корм Monge Dog PFB Speciality Hypo для взрослых собак всех пород с лососем и тунцом 15 кг,11836.0,70006439,"Monge (Монж) Dog Speciality Line Hypo сухой корм на основе тунца и лосося для взрослых собак всех пород 12 кг. Полнорационный сбалансированный корм на основе рыбы для взрослых собак всех пород с повышенной чувствительностью к компонентам корма. Источником белка является рыба (тунец и лосось), а источником углеводов - бурый рис. Может использоваться для собак с чувствительным пищеварением. Пребиотики М.О.S и X.O.S. помогают сохранять естественный баланс кишечной микрофлоры и способствует оптимальному усвоению питательных веществ. в составе корма чрезвычайно важен для поддержания красоты шерсти и здоровья кожи. Рис (58%), лосось (10% дегидрированного и 8% свежего лосося), тунец (10% дегидрированного), пивные дрожжи (источник МОС и витамина B12), растительное масло (консервированное с помощью натуральных антиоксидантов), рыбий жир (масло лосося, консервированное с помощью натуральных антиоксидантов), сухая свекольная пульпа, юкка Шидигера, КОС (ксилоолигосахариды 3г/кг), гидролизованные дрожжи (МОС), гидролизованные хрящи (источник хондроитина сульфата), гидролизованные ракообразные (источник глюкозамина), метилсульфонилметан. Питательная ценность: сырой белок 24,00%, сырые масла и жиры 12,00%, сырая клетчатка 2,00%, сырая зола 6,50%, кальций 1,40%, фосфор 1,10%, омега-6 жирные кислоты 3,60%, омега-3 жирные кислоты 0,90%. Энергетическая ценность: 3 940 ккал/кг. Пищевые добавки/кг: витамин А 24000 МЕ, витамин D3 1700 МЕ, витамин Е 190 мг, витамин В1 12 мг, витамин В2 15 мг, витамин В6 7 мг, витамин В12 150 мг, биотин 20 мг, ниацин 30 мг, витамин С 200 мг, пантотеновая кислота 18 мг, фолиевая кислота 1,70 мг, холина хлорид 2500 мг, инозитол 3,60 мг, Е5 сульфат марганца моногидрат 32 мг, Е6 оксид цинка 150 мг, Е4 сульфат меди пентагидрат 13 мг, Е1 сульфат железа моногидрат 110 мг, Е8 селенит натрия 0,20 мг, Е2 йодат кальция 1,80 мг, L-карнитин 100 мг, DL-метионин 1,60г. Технологические добавки/кг: натуральная смесь из токоферола и экстракта розмарина обыкновенного. Энергетическая ценность: 3 940 ккал/кг. Рис (58%), лосось (10% дегидрированного и 8% свежего лосося), тунец (10% дегидрированного), пивные дрожжи (источник МОС и витамина B12), растительное масло (консервированное с помощью натуральных антиоксидантов), рыбий жир (масло лосося, консервированное с помощью натуральных антиоксидантов), сухая свекольная пульпа, юкка Шидигера, КОС (ксилоолигосахариды 3г/кг), гидролизованные дрожжи (МОС), гидролизованные хрящи (источник хондроитина сульфата), гидролизованные ракообразные (источник глюкозамина), метилсульфонилметан.",сухой корм для взрослых собак всех пород с лососем и тунцом 15 кг,сухой корм для кошек
9,Сухой корм CRAFTIA HARMONA для стерилизованных кошек из утки и индейки 320 г,695.0,CRF5422141,"CRAFTIA HARMONA сухой корм для стерилизованных кошек из утки и индейки CRAFTIA HARMONA — корм для кошек ультрапремиум класса, созданный с любовью к природе. Состав кормов CRAFTIA прозрачен и понятен, отсутствуют скрытые добавки и сомнительные ингредиенты. Все, что заявлено в составе корма, гарантированно присутствует в каждой грануле. Собственный завод, сотни квадратных метров научно-исследовательских лабораторий, первоклассное сырье — все это позволяет создавать тщательно сбалансированный высокобелковый корм с холистическим подходом. Все компоненты корма подходят для употребления человеком и не содержат ГМО. сырая утка (21%), сырая индейка (17%), гороховый крахмал, дегидратированный утиный белок (10%), дегидратированный белок индейки (10%), куриный жир, киноа (4%), гидролизованный рыбий белок (треска, пикша), гидролизованные белки птицы (курица, индейка), куриные потроха (печень, сердце, почки), сухое яйцо (куриное), рыбий жир (лососевый), сухая свекольная пульпа, льняное семя, люцерновая мука, волокна гороха, сушеная ацерола (0,5%), сушеная тыква (0,5%), монокальцийфосфат, хлорид калия, карбонат кальция, инулин цикория (0,4%), дрожжевой экстракт (источник маннанoлигосахаридов) (0,3%), фруктоолигосахариды (0,3%), сухие пивные дрожжи, сушеная черника, сушеная клюква, сушеная яблоко Аннурка, сушеная спаржа, хлорид натрия, аскофиллум узловатый (Ascophyllum Nodosum), розмарин, куркума, календула, семена и шелуха подорожника, юкка Шидигера. сырой белок 39,8%; сырой жир 11%; сырая клетчатка 5,1%; сырая зола 7,9%; кальций – 1,1%; фосфор – 0,85%; Омега-6 жирные кислоты – 1,75%; Омега-3 жирные кислоты – 0,5%; докозагексаеновая кислота (ДГК) – 0,25%; эйкозапентаеновая кислота (ЭПК) – 0,2%. витамин А – 19000ME; витамин D3 – 1900ME; витамин Е – 250мг; витамин С –190мг; ниацинамид – 57мг; D-пантенол – 23,7мг; витамин B2 – 11,8мг; витамин B6 – 7,1мг; витамин B1 – 11,8мг; биотин – 0,57мг; фолиевая кислота – 0,57мг; витамин B12 – 0,1мг; холина хлорид – 2700мг; Цинк (Хелат цинка гидрата глицина) – 84,6мг; Марганец (Хелат марганца гидрата глицина) – 18мг; Железо (Хелат железа гидрата глицина) – 64,8мг; Медь (Хелат меди гидрата глицина) – 12,6мг; Йод (безводный йодат кальция) – 1,8мг; Cелен (L-селенометионин) - 0,3мг; DL-метионин, технически чистый – 5000мг; Tаурин - 2180мг; L-карнитин - 200мг. Антиоксиданты: экстракт токоферолов из растительных масел. Технологические добавки: целлюлоза микрокристаллическая. сырая утка (21%), сырая индейка (17%), гороховый крахмал, дегидратированный утиный белок (10%), дегидратированный белок индейки (10%), куриный жир, киноа (4%), гидролизованный рыбий белок (треска, пикша), гидролизованные белки птицы (курица, индейка), куриные потроха (печень, сердце, почки), сухое яйцо (куриное), рыбий жир (лососевый), сухая свекольная пульпа, льняное семя, люцерновая мука, волокна гороха, сушеная ацерола (0,5%), сушеная тыква (0,5%), монокальцийфосфат, хлорид калия, карбонат кальция, инулин цикория (0,4%), дрожжевой экстракт (источник маннанoлигосахаридов) (0,3%), фруктоолигосахариды (0,3%), сухие пивные дрожжи, сушеная черника, сушеная клюква, сушеная яблоко Аннурка, сушеная спаржа, хлорид натрия, аскофиллум узловатый (Ascophyllum Nodosum), розмарин, куркума, календула, семена и шелуха подорожника, юкка Шидигера.",сухой корм для стерилизованных кошек из утки и индейки 320 г,сухой корм для стерилизованных кошек
